YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_GEO_CD,BENE_AGE_LVL,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC
2016,State,OR,41,<65,9207.19,8193.3
2016,State,OR,41,>65,8036.1,7130.49
2016,State,PA,42,All,10250.09,9743.99
2016,State,PA,42,<65,11046.32,10331.32
2016,State,PA,42,>65,10087.4,9623.99
2016,State,PR,72,All,5640.4,6867.83
2016,State,PR,72,<65,9153.32,11453.27
2016,State,PR,72,>65,4919.42,5926.73
2016,State,RI,44,All,10195.02,8928.75
2016,State,RI,44,<65,10083.8,8711.87
2016,State,RI,44,>65,10223.06,8983.44
2016,State,SC,45,All,8802.02,9044.5
2016,State,SC,45,<65,10162.07,10467.07
2016,State,SC,45,>65,8543.49,8774.07
2016,State,SD,46,All,8512.56,8180.81
2016,State,SD,46,<65,10543.86,10090.92
2016,State,SD,46,>65,8206.91,7893.39
2016,State,TN,47,All,9146.29,9773.07
2016,State,TN,47,<65,10109.86,10806.27
2016,State,TN,47,>65,8942.27,9554.31
2016,State,TX,48,All,11111.51,11246.82
2016,State,TX,48,<65,13853.64,13945.36
2016,State,TX,48,>65,10629.86,10772.83
2016,State,UT,49,All,8683.97,8610.53
2016,State,UT,49,<65,9662.58,9767.09
2016,State,UT,49,>65,8535.93,8435.58
2016,State,VA,51,All,8902.93,8786.73
2016,State,VA,51,<65,10708.89,10660.06
2016,State,VA,51,>65,8637.11,8511
2016,State,VI,78,All,5238.38,4749.45
2016,State,VI,78,<65,6642.29,6095.6
2016,State,VI,78,>65,5105.15,4621.7
2016,State,VT,50,All,8559.94,7563.9
2016,State,VT,50,<65,8788.65,7834.12
2016,State,VT,50,>65,8512.81,7508.22
2016,State,WA,53,All,8624.7,7704.9
2016,State,WA,53,<65,9006.86,8107.99
2016,State,WA,53,>65,8555.79,7632.21
2016,State,WI,55,All,8581.21,8271.61
2016,State,WI,55,<65,9508.79,9274.78
2016,State,WI,55,>65,8381.51,8055.64
2016,State,WV,54,All,8914.53,9107.44
2016,State,WV,54,<65,8723.58,8917.93
2016,State,WV,54,>65,8974.62,9167.09
2016,State,WY,56,All,8576.57,7718.6
2016,State,WY,56,<65,10100.82,9231.93
2016,State,WY,56,>65,8355.23,7498.84
2017,National,National,,All,10329.82,9754.22
2017,National,National,,<65,11572.07,10947.79
2017,National,National,,>65,10095.21,9528.81
2017,State,AK,2,All,9575.77,7100.65
2017,State,AK,2,<65,12860.54,9625.74
2017,State,AK,2,>65,9030.76,6681.7
2017,State,AL,1,All,9447.71,10381.61
2017,State,AL,1,<65,9257.11,10165.82
2017,State,AL,1,>65,9503.52,10444.8
2017,State,AR,5,All,8986.21,9693.37
2017,State,AR,5,<65,8714.26,9328.35
2017,State,AR,5,>65,9052.31,9782.1
2017,State,AZ,4,All,9533.12,8919.69
2017,State,AZ,4,<65,11616.16,10817.02
2017,State,AZ,4,>65,9323.95,8729.17
2017,State,CA,6,All,11856.87,9449.91
2017,State,CA,6,<65,14298.18,11299.89
2017,State,CA,6,>65,11431.23,9127.38
2017,State,CO,8,All,8896.34,8412.92
2017,State,CO,8,<65,10600.6,10010.35
2017,State,CO,8,>65,8616.23,8150.37
2017,State,CT,9,All,11895.88,9972.95
2017,State,CT,9,<65,13344.59,11307.91
2017,State,CT,9,>65,11662.45,9757.85
2017,State,DC,11,All,12120.27,10329.1
2017,State,DC,11,<65,16756.21,14018.13
2017,State,DC,11,>65,11014.26,9449
2017,State,DE,10,All,10398.09,9494.69
2017,State,DE,10,<65,12507.41,11504.95
2017,State,DE,10,>65,10080.47,9192
2017,State,FL,12,All,11162.76,11185.08
2017,State,FL,12,<65,12984.52,12911.38
2017,State,FL,12,>65,10918.07,10953.21
2017,State,GA,13,All,9689.64,9910
2017,State,GA,13,<65,11642.06,11946.71
2017,State,GA,13,>65,9267.24,9469.36
2017,State,HI,15,All,8002.87,6684.84
2017,State,HI,15,<65,13204.19,11205.95
2017,State,HI,15,>65,7430.55,6187.37
2017,State,IA,19,All,8618.98,8500.86
2017,State,IA,19,<65,9707.98,9637.37
2017,State,IA,19,>65,8452.72,8327.34
2017,State,ID,16,All,8202.27,8151.37
2017,State,ID,16,<65,8867.07,8923.35
2017,State,ID,16,>65,8080.33,8009.78
2017,State,IL,17,All,10647.42,10123.64
2017,State,IL,17,<65,12459.24,11821.83
2017,State,IL,17,>65,10355.93,9850.44
2017,State,IN,18,All,9863.8,9834.66
2017,State,IN,18,<65,10902.79,10824.63
2017,State,IN,18,>65,9643.09,9624.37
2017,State,KS,20,All,9474.95,9775.9
2017,State,KS,20,<65,10424.31,10826.29
2017,State,KS,20,>65,9319.31,9603.7
2017,State,KY,21,All,9538.14,9800.09
2017,State,KY,21,<65,9324.44,9526.53
2017,State,KY,21,>65,9604.69,9885.28
2017,State,LA,22,All,10908.45,11516.72
2017,State,LA,22,<65,12052.43,12571.43
2017,State,LA,22,>65,10606.5,11238.33
2017,State,MA,25,All,11460.6,9602.59
2017,State,MA,25,<65,11735.25,9825.74
2017,State,MA,25,>65,11398.28,9551.96
2017,State,MD,24,All,11957.23,9851.57
2017,State,MD,24,<65,15554.26,12558.41
2017,State,MD,24,>65,11383.41,9419.77
2017,State,ME,23,All,9005.6,8605.5
2017,State,ME,23,<65,8934.56,8670.81
2017,State,ME,23,>65,9025.78,8586.94
2017,State,MI,26,All,10564.28,10100.44
2017,State,MI,26,<65,10946.56,10531.24
2017,State,MI,26,>65,10469.9,9994.09
2017,State,MN,27,All,9581.05,8714.54
2017,State,MN,27,<65,10580.78,9624.2
2017,State,MN,27,>65,9225.99,8391.46
2017,State,MO,29,All,9607.3,9823.93
2017,State,MO,29,<65,10960.06,11143.09
2017,State,MO,29,>65,9293.76,9518.18
2017,State,MS,28,All,10171.69,10982.96
2017,State,MS,28,<65,10912.62,11652.38
2017,State,MS,28,>65,9966.49,10797.56
2017,State,MT,30,All,8066.31,7651.44
2017,State,MT,30,<65,8697.67,8314.83
2017,State,MT,30,>65,7970.38,7550.64
2017,State,NC,37,All,9326.47,9289.34
2017,State,NC,37,<65,10711.26,10614.26
2017,State,NC,37,>65,9015.27,8991.6
2017,State,ND,38,All,8957.58,8668.38
2017,State,ND,38,<65,10007.28,9944.72
2017,State,ND,38,>65,8810.6,8489.66
2017,State,NE,31,All,9445.72,9257.41
2017,State,NE,31,<65,10487.52,10416.21
2017,State,NE,31,>65,9306.76,9102.84
2017,State,NH,33,All,9295.37,8379.57
2017,State,NH,33,<65,9450.29,8516.95
2017,State,NH,33,>65,9265.34,8352.95
2017,State,NJ,34,All,12160.18,10411.7
2017,State,NJ,34,<65,13677.28,11713.38
2017,State,NJ,34,>65,11942.31,10224.77
2017,State,NM,35,All,8235.37,7922.76
2017,State,NM,35,<65,9411.76,9025.68
2017,State,NM,35,>65,7998.25,7700.45
2017,State,NV,32,All,10650.42,9642.36
2017,State,NV,32,<65,13701.67,12372.28
2017,State,NV,32,>65,10145.43,9190.55
2017,State,NY,36,All,12144.36,10019.95
2017,State,NY,36,<65,12440.35,10429.1
2017,State,NY,36,>65,12085.95,9939.21
2017,State,OH,39,All,10037.71,10012.17
2017,State,OH,39,<65,10891.15,10841.98
2017,State,OH,39,>65,9870.79,9849.87
2017,State,OK,40,All,10224.89,10654.97
2017,State,OK,40,<65,11028.82,11415.97
2017,State,OK,40,>65,10053.01,10492.28
2017,State,OR,41,All,8438.73,7497.15
2017,State,OR,41,<65,9458.37,8467.31
2017,State,OR,41,>65,8241.41,7309.41
2017,State,PA,42,All,10436.67,9879.84
2017,State,PA,42,<65,11351.02,10558.21
2017,State,PA,42,>65,10257.8,9747.12
2017,State,PR,72,All,5543.91,6518.4
2017,State,PR,72,<65,9510.15,11682.79
2017,State,PR,72,>65,4791.71,5538.97
2017,State,RI,44,All,10301.47,9095.09
2017,State,RI,44,<65,10049.2,8870.27
2017,State,RI,44,>65,10348.76,9137.25
2017,State,SC,45,All,9064.2,9281.46
2017,State,SC,45,<65,10619.39,10922
2017,State,SC,45,>65,8786.63,8988.65
2017,State,SD,46,All,8733.58,8395.74
2017,State,SD,46,<65,10878.24,10398.06
2017,State,SD,46,>65,8424.53,8107.2
2017,State,TN,47,All,9386.52,9982.38
2017,State,TN,47,<65,10537.92,11198.9
2017,State,TN,47,>65,9160.44,9743.52
2017,State,TX,48,All,11183.77,11279.89
2017,State,TX,48,<65,13912.29,13963.7
2017,State,TX,48,>65,10732.32,10835.83
2017,State,UT,49,All,8919.12,8800.56
2017,State,UT,49,<65,9729.11,9805.05
2017,State,UT,49,>65,8802.55,8656
2017,State,VA,51,All,9118.2,8994.68
2017,State,VA,51,<65,10828.87,10761.81
2017,State,VA,51,>65,8872.6,8740.97
2017,State,VI,78,All,5199.59,4702.79
2017,State,VI,78,<65,6648.05,6144.36
2017,State,VI,78,>65,5072.16,4575.96
2017,State,VT,50,All,8724.11,7664.05
2017,State,VT,50,<65,9062.27,7993.61
2017,State,VT,50,>65,8656.24,7597.9
2017,State,WA,53,All,8778.78,7883.2
2017,State,WA,53,<65,9316.62,8463.92
2017,State,WA,53,>65,8686.76,7783.85
2017,State,WI,55,All,8758.9,8406.48
2017,State,WI,55,<65,9652.85,9378.43
2017,State,WI,55,>65,8575.38,8206.95
2017,State,WV,54,All,9218.21,9406.56
2017,State,WV,54,<65,8921.62,9145.19
2017,State,WV,54,>65,9308.23,9485.9
2017,State,WY,56,All,8726.81,7829.16
